Ano,País,País 1,Pais 2,Título US,Título Original,Diretor,Watchedby,Listado (qtd),Liked,Ranking,Fans,Rating,Duração,Sinopse,Gênero,Gênero 1,Gênero 2,Gênero 3,Temas,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5
2013,['Brazil'],Brazil,--,Buddies,‘Colegas’,Marcelo Galvão,1.7k,323,172, ,4,3.2,94,"A road movie that shows the simple things in life in a poetic light through the eyes of three young people with Down syndrome, who love movies and work at the video library of the institution where they have always lived in. One day, inspired by the movie “Thelma & Louise”, they decide to run away using the gardener’s old car to have a freedom experience. They travel to uncommon places in search for three simple wishes: Stalone wants to see the sea, Aninha looks for a husband and Marcio needs to fly. During this search, they embark on several adventures as if life was just a children’s play ×","['comedy', 'drama', 'adventure']",comedy,drama,adventure,--,-,-,--,--,--
1970,['Brazil'],Brazil,--,Cuidado Madame,Cuidado Madame,Júlio Bressane,665,317,220, ,6,3.8,71,"Two maids decide to rebel against the society that oppresses them and start murdering their own mistresses.  “𝘛𝘩𝘦 𝘵𝘩𝘦𝘮𝘦 𝘪𝘴 𝘵𝘩𝘦 𝘳𝘦𝘷𝘰𝘭𝘵 𝘰𝘧 𝘵𝘩𝘦 𝘴𝘭𝘢𝘷𝘦𝘴, 𝘵𝘩𝘦 𝘳𝘦𝘱𝘳𝘦𝘴𝘴𝘦𝘥 𝘸𝘩𝘰 𝘣𝘦𝘤𝘢𝘶𝘴𝘦 𝘵𝘩𝘦𝘺 𝘩𝘢𝘷𝘦 𝘯𝘰 𝘸𝘢𝘺 𝘰𝘶𝘵 𝘥𝘦𝘤𝘪𝘥𝘦 𝘵𝘰 𝘵𝘶𝘳𝘯 𝘵𝘦𝘯 𝘰𝘳 𝘵𝘸𝘦𝘯𝘵𝘺 𝘥𝘢𝘺𝘴 𝘪𝘯𝘵𝘰 𝘢𝘯 𝘦𝘵𝘦𝘳𝘯𝘪𝘵𝘺. 𝘚𝘰 𝘵𝘩𝘦𝘺 𝘬𝘪𝘭𝘭 𝘵𝘩𝘦𝘪𝘳 𝘮𝘢𝘴𝘵𝘦𝘳𝘴. 𝘛𝘩𝘦𝘺 𝘸𝘪𝘭𝘭 𝘤𝘦𝘳𝘵𝘢𝘪𝘯𝘭𝘺 𝘥𝘪𝘦, 𝘣𝘶𝘵 𝘵𝘩𝘢𝘵 𝘴𝘱𝘢𝘤𝘦 𝘰𝘧 𝘧𝘳𝘦𝘦𝘥𝘰𝘮, 𝘦𝘷𝘦𝘯 𝘪𝘧 𝘪𝘵 𝘰𝘯𝘭𝘺 𝘭𝘢𝘴𝘵𝘴 𝘢 𝘸𝘦𝘦𝘬, 𝘧𝘰𝘳 𝘵𝘩𝘦𝘮 𝘪𝘴 𝘢𝘯 𝘦𝘵𝘦𝘳𝘯𝘪𝘵𝘺.” ×","['comedy', 'crime']",comedy,crime,--,--,-,-,--,--,--
2015,['Brazil'],Brazil,--,Chico - Brazilian Artist,‘Chico - Artista Brasileiro’,Miguel Faria Jr.,1.4k,265,303, ,0,3.9,115,"Chico Buarque is a constant presence in Brazil’s art scene and makes up its citizen’s popular culture. This wealth in music, poems, theater and novels has been created over the last 50 years and in this film Chico Buarque converses about his memories, shows, daily life, work methods, creative process, in summary all his trajectory. The musician’s search for his German brother, whom he never got to meet, serves as one of the axis for the narrative.","['music', 'documentary']",music,documentary,--,--,-,-,--,--,--
1972,['Brazil'],Brazil,--,Câncer,Câncer,Glauber Rocha,433,548,110, ,0,3.6,86,"This film shows people with constant psychological and social conflicts: the violence among outlaws, conflicts between man and woman, police and society.",['drama'],drama,--,--,--,-,-,--,--,--
2019,['Brazil'],Brazil,--,Music for Bleeding Hearts,‘Música Para Morrer de Amor’,Rafael Gomes,881,292,155, ,5,3.0,102,"In present-day São Paulo, a trio of young hearts are about to break. Ricardo has both a steady boyfriend and a wandering eye for a new coworker. Isabella is taking a break from both her boyfriend and best friend Ricardo. And hopeless romantic Felipe has suddenly found himself caught between the two of them. These three have big dreams, yearning passion, and opinionated acquaintances, but they’re all unprepared for what’s to come from Cupid’s arrows.","['romance', 'drama']",romance,drama,--,--,-,-,--,--,--
2019,['Brazil'],Brazil,--,Let It Burn,‘Diz a Ela Que Me Viu Chorar’,Maíra Bühler,880,399,151, ,1,3.4,82,"A gritty observation of precarious romance, debauchery, and heartbreak between addicts living in a São Paulo hotel.",['documentary'],documentary,--,--,--,-,-,--,--,--
2014,['Brazil'],Brazil,--,Coffee Stains,‘Permanência’,Leonardo Lacca,1.3k,275,176, ,2,3.3,90,"A photographer travels to São Paulo for his first solo exhibition and decides to stay in his now married, ex-girlfriend’s house.","['drama', 'romance']",drama,romance,--,--,-,-,--,--,--
1977,['Brazil'],Brazil,--,The Vampire of the Cinematheque,‘O Vampiro da Cinemateca’,Jairo Ferreira,348,506,121, ,2,3.8,64,"As filmmaker Jairo Ferreira shoots his life and friends in Super 8mm he also becomes the vampire of the Cinemateca Brasileira in São Paulo. In O VAMPIRO DA CINEMATECA Ferreira develops a poetic representation of his idea of “inventive cinema” without a plot in the classical sense. Ferreira mixes situations of everyday life in the streets of São Paulo with scenes from classics of film history, which he filmed from television or from a projection with his Super 8 camera. The author as a vampire sucks from various sources – not only in cinema, but also in poetry and music – and creates a portrait of his time. ×",['documentary'],documentary,--,--,--,-,-,--,--,--
1963,['Brazil'],Brazil,--,Golden Mouth,‘Boca de Ouro’,Nelson Pereira dos Santos,739,324,226, ,4,3.8,100,"For his first in a long series of wildly imaginative literary adaptations, dos Santos reinvented Nelson Rodrigues’ novel about a pathological gangster with solid gold teeth and a voracious appetite for women and power. Embracing radically modernist narrative techniques, Golden Mouth offers a splintered, refractive portrait of brutal masculinity that returns repeatedly to the same moment from different vantages, each time revealing unexpected perspectives on the brutal yet strangely charming criminal. Lurid and disturbing, Golden Mouth delivers a savage satire of marriage and class pretensions, revealing a similar venality at the corroded heart of the sanctimonious bourgeoisie, the moneyed elite and the working class as they all mercilessly claw their way up and down the rickety and ruthlessly hierarchical Brazilian social ladder. -Harvard Film Archive ×",['drama'],drama,--,--,--,-,-,--,--,--
2017,"['Brazil', 'Portugal']",Brazil,Portugal,Antonio One Two Three,‘António Um Dois Três’,Leonardo Mouramateus,1.1k,268,194, ,5,3.2,95,"Antonio runs away from home and tries to spend the night at his ex-girlfriend’s apartment. There he finds a brazilian girl, an unexpected guest. Johnny is struggling to stage his first theater play in Lisbon. His friendship with the young light technician will make him face his real problems. Débora is passing by, finally returning home. When she goes to the theater, she falls asleep, and is awaken by the protagonist. Three dimensions of the same story.","['comedy', 'drama']",comedy,drama,--,--,-,-,--,--,--
